title,authors,date,first_p
How going vegetarian can help fight pandemics,Max Proctor,2020-11-13T04:20:00Z,"although it may feel like covid-19 came out of nowhere, the meat industry, among other human practices, created the perfect conditions for new highly infectious diseases to arise. going vegetarian could help prevent a future pandemic, says max proctor cm ’22."
Not enough people are talking about anti-Asian sentiment during the pandemic,Jadyn Lee,2020-11-13T04:18:00Z,"people need to start bringing more awareness to anti-asian hate crimes during the pandemic; and they need to re-examine the historical biases that shaped asian americans’ socioeconomic positions in society, says jadyn lee sc ’24."
Political beliefs are valid criteria for choosing friends,Emma Mansour,2020-11-13T04:17:00Z,"we’ve come to a point where it’s impossible to separate politics from your personal values and moral code, so caring about who someone votes for shouldn’t be treated as irrational, writes emma mansour sc ’24."
"Biden won, and that’s not enough",Sam Hernandez,2020-11-08T19:01:00Z,"joe biden is far from a solution to america’s issues, and we need to do more to make substantive progress, says sam hernandez po ’24."
"Liberals spread misinformation, too",Kristen Lu,2020-11-06T03:43:00Z,"the ease with which false information spreads on the left is dangerous, and liberals must pay more attention, writes kristen lu, cm ’24. "
Combating prejudice against immigrants starts with immigrants ourselves,Phillip Kong,2020-11-06T03:35:00Z,"if immigrants want to change the harmful expectations imposed on them, they must first accept themselves, argues phillip kong po ’24."
We need a weeklong spring break,Katherine Almendarez,2020-11-06T03:06:00Z,"the minimum the 5cs can do to alleviate some of our concerns is to give us a weeklong spring break, argues katherine almendarez cm ’22. "
"America needs more international students, not fewer",Ebenezer Mensah,2020-11-06T03:04:00Z,"in light of the trump administration’s policy change making it harder for international students to stay in the country, we need to recognize how vital international students are to the american college experience, argues ebenezer mensah po ’23"
We can’t skip a year of Orientation Adventure,Ryan Lillestrand,2020-11-06T03:03:00Z,"students who are new to campus need make-up in-person orientation adventures, writes ryan lillestrand pz ’23."
Mandating the use of Zoom’s camera function is detrimental to student education,Sam Hernandez,2020-10-23T02:47:00Z,"professors should allow students to turn off zoom cameras during class for mental health and equity reasons, says sam hernandez po ’24."
We need to detach our self-worth from our grades,Aarushi Phalke,2020-10-23T02:47:00Z,"we are not our grades, and this format of online learning is a reminder of that, says aarushi phalke po ’24."
Let’s update California’s affirmative action policy: Vote yes on Prop 16,Callie Radecki,2020-10-23T02:47:00Z,"california voters can promote equality by voting yes on proposition 16 to reinstate affirmative action, says callie radecki pz ’22. "
Pitzer should rethink its fall grading system,Luciénne Reyes,2020-10-23T02:46:00Z,"pitzer’s return to traditional letter grades fails marginalized students during the coronavirus pandemic, says luciénne reyes pz ’24."
The 5Cs should all include a physical education requirement,Leah Voudouri,2020-10-23T02:46:00Z,"our education isn’t complete without physical exercise, and we should include workout routines in our schedules, argues leah voudouri po ’24. "
Twitter should not be your sole source of information,Emma Mansour,2020-10-23T02:41:00Z,"it’s imperative that we diversify the way we get our information on social media, says emma mansour sc ’24. "
American politics is a brute and drooling slop,Patrick Hutecker,2020-10-23T02:41:00Z,"political parties are the clashes of pointless policy, argues patrick hutecker hm ’24. he’d rather move to yosemite than join congress."
Strive for education before condemnation,Jadyn Lee,2020-10-16T04:01:00Z,"shunning people rarely ever produces meaningful change; we should strive to educate before condemning, says jadyn lee sc ’24."
Stereotypes of music genres are harmful,Phillip Kong,2020-10-16T03:59:00Z,"the stereotypes that exist within music are harmful towards artists and the potential of music as a source of influence in society, argues phillip kong po ’24."
Zoom education should never be the new normal,Lee Enochs,2020-10-16T03:57:00Z,"online learning is extremely lacking and should never be a long-term form of education, says lee enochs cgu ’22."
"Elect Bennett Rea to City Council for the pragmatic, forward-looking leadership Claremont needs",Ben Reicher,2020-10-16T03:55:00Z,"voters in claremont should consider voting for bennett rea for pragmatic, forward-looking leadership."
Want to combat poverty and racial inequality in LA? Support public transportation.,Ryan Lillestrand,2020-10-16T02:24:00Z,"a better public transit system in la could help eliminate the city’s racial and socioeconomic lines, writes ryan lillestrand pz ’23."
Pomona’s renaming of Millikan offers a new standard for ongoing nationwide controversy,Ben Reicher,2020-10-16T02:22:00Z,pomona renaming millikan may indicate a new standard for commemorating individuals with problematic views.
We must regulate social media algorithms,Brian Lee,2020-10-16T02:21:00Z,"social media algorithms need to be regulated so that users don’t stay online for too long, says brian lee cm ’24."
Letter to the Editor: Reflecting on Pomona’s campus from a distance,Letter to the Editor,2020-10-13T22:27:00Z,"pomona college professor marjorie l. harth writes in appreciation of a recent art column, and issues a request to pomona students. "
"OpenAI’s GPT-3 text generator is impressive, but we should be wary of such technology",Michelle Lum,2020-10-09T03:03:00Z,"openai’s gpt-3 text generator is impressive, but we should be wary of the consequences of such technology, writes michelle lum hm ‘23."
OPINION:‌ ‌Feminism‌ ‌does‌ ‌not‌ ‌mean‌ ‌man-hating‌,Leah Voudouri,2020-10-09T03:02:00Z,"we need to work on dissociating feminism from misandry in order to keep fighting for women’s rights, argues leah voudouri po ‘24."
Instagram is a Schedule II drug,Ty Rocker,2020-10-09T03:01:00Z,ty rocker pz ‘23 highlights how our seemingly innocuous use of social media actually resembles drug addiction.
The Green New Deal won’t preserve our greenery,Sam Hernandez,2020-10-09T02:59:00Z,"the green new deal doesn’t go far enough reducing emissions or providing international aid, says sam hernandez po ’24."
We need to teach young children about systems of oppression,Aarushi Phalke,2020-10-09T02:59:00Z,"we need to teach children about racism and other systems of oppression as early as possible, says aarushi phalke po ’24."
The dissolution of International Place is an egregious loss for international students,Mabel Lui,2020-10-07T23:03:00Z,"the 5cs’ decision to dissolve i-place communicates a clear lack of consideration for international students’ needs, writes mabel lui sc ’21."
An online first semester has underappreciated advantages,Phillip Kong,2020-10-02T04:29:00Z,"it’s important to recognize the advantages of an online first semester so we can reconstruct our first-year experience in a virtual setting, says phillip kong po ’24."
How to combat unethical products,Brian Lee,2020-10-02T04:28:00Z,"in a time when unethical practices are profitable to companies, consumers must move away from being passive purchasers, says brian lee cm ’24."
Unnecessary complexity is ruining academic writing; it’s up to us to save it,Ryan Lillestrand,2020-10-02T04:28:00Z,"academic writing is plagued by inaccessible language and jargon that raises up walls around academia, says ryan lillestrand pz ’23."
Don’t take pride in ideological inflexibility,Margot Rosenblatt,2020-10-02T04:27:00Z,"no one should congratulate themselves for refusing to consider ideas that disagree with a certain narrative, nor shame others for doing so."
The 5Cs should have a department for disability studies,Luciénne Reyes,2020-10-02T03:46:00Z,"opinion: the 5cs should provide students with the opportunity to major or minor in disability studies, says luciénne reyes pz ’24."
Careless thrifting encourages the gentrification of low-income communities,Jadyn Lee,2020-10-02T03:46:00Z,"it’s ok to thrift, but higher-income shoppers should be mindful of how their purchases impact low-income communities, says jadyn lee sc ’24."
The case for a Hogwarts grading system,Ben Reicher,2020-10-02T03:22:00Z,"a labor-based grading system similar to that at hogwarts from the harry potter series may be worth considering, says ben reicher po ’22. "
Environmentalism is egotism,Ty Rocker,2020-09-28T02:45:00Z,"amid the climate crisis, ty rocker pz ’23 argues against an anthropocentric view of earth, describing how nature might regenerate on its own."
My teacher lied to me about being Black,Kristen Lu,2020-09-25T03:35:00Z,"educators who co-opt racial identities to advance themselves are incredibly hypocritical, writes kristen lu cm ’24."
We need to reimagine the Supreme Court to save ourselves,Aarushi Phalke,2020-09-25T02:52:00Z,"rbg’s passing is a moment for revolutionary thinking –– we need to restructure systems of power, says aarushi phalke po ’24."
Opening schools was a premature and inattentive decision,Leah Voudouri,2020-09-25T02:45:00Z,"after greek schools shut down just days after reopening, leah voudouri po ’24 contends that covid-19 finds schools ill-prepared to reopen."
A virtual semester is not worth full tuition,Emma Mansour,2020-09-25T02:43:00Z,first-year emma mansour sc ’24 argues that an online semester lacking the complete on-campus college experience is not worth full tuition.
Trump’s opportunity zones provide little opportunity,Sam Hernandez,2020-09-25T02:34:00Z,"local activism is more effective in helping disadvantaged communities than trump’s opportunity zones program, says sam hernandez po ’24."
"Justice education should be a norm, not an anomaly",Chris Meng,2020-09-18T02:01:00Z,"after taking part in justice education initiative courses at the 5cs, chris meng po ’23 urges the implementation of justice courses in k-12."
Voting alone will not save us,Donnie Denome,2020-09-18T02:00:00Z,"it will take more than voting in the 2020 election to fix the u.s.’s problems, making voting less than the panacea it’s often touted as."
California is burning. It didn’t have to be like this.,Michelle Lum,2020-09-13T06:51:00Z,michelle lum hm ’23 describes how recent wildfires on the west coast present a stark reality of a world undergoing climate change.
I am a Puerto Rican who believes in independence. I urge you to vote for Biden.,Sara Acevedo,2020-09-09T19:50:00Z,sara acevedo po ’21 urges 5c students to vote for joe biden in the upcoming presidential election if they want to help puerto rico.
"On race, health and social change; an open letter to STEM students",Aseal Birir,2020-09-07T20:16:00Z,harvard medical school student aseal birir po ’18 encourages stem students to take africana studies courses to promote equity in stem.
Save democracy; power the polls,Michaela Fogarty,2020-08-31T05:13:00Z,"in anticipation of the november election, michaela fogarty pz ‘22 encourages college students to become poll workers to preserve democracy."
Empower small governments to achieve social justice,Margot Rosenblatt,2020-08-21T17:38:00Z,empowering local governments and communities of color provides an opportunity for widespread systemic change to be enacted.
The hypocrisy of white feminism,Sofia Ahmed,2020-08-17T16:25:00Z,mainstream feminism centers white women and has been weaponized against brown and black people as a perverse justification for colonization.
What freedom means to the United States,Georgia Scott,2020-08-05T22:31:00Z,"in the united states, freedom has been poorly defined and executed and needs to be rethought and reimagined to grant equal rights to all."
Thinking about moving to Claremont? Here’s why you should think twice,Becca Zimmerman,2020-07-21T17:01:00Z,"as students make plans for the fall, becca zimmerman pz ’21 explains why living with friends amid the coronavirus pandemic may be unwise."
"Online school: you can run, but you can’t hide",Andy Han,2020-07-16T05:07:00Z,"given the current coronavirus outlook, andy han po ’23 argues that students will be unable to avoid online school, even if taking a gap year."
"In light of ICE’s ruling, 5Cs should go beyond the bare minimum to support international students",Annie Wan,2020-07-10T01:18:00Z,new rules issued by ice would put many international students at risk. the 5cs must create strong plans to protect all of their international students. 
We need to consider marginalized communities in the decision to return to campus,Aleja Hertzler-McCain,2020-07-07T23:12:00Z,"as the 5cs discuss options for returning to campus, aleja hertzler-mccain po ’21 urges them to consider marginalized communities nearby."
Student organizing gave us the power and platform to oust Sodexo,Drop Sodexo,2020-07-05T05:53:00Z,"in light of scripps college’s decision to drop sodexo as its dining services provider, drop sodexo student organizers reflect on their power."
Hong Kong’s perpetual agony,Christopher Tan,2020-07-03T02:09:00Z,"as china’s national security law for hong kong comes in effect, christopher tan pz ’21 reflects on what it means for the city."
Returning to campus this fall would be so much worse than you think,Carson Herness and Donnie Denome,2020-06-30T15:23:00Z,"harvey mudd college’s potential plans for fall reopening shocked many. but of all the colleges’ plans, mudd’s are the best bet to avoid disaster."
The battle for the soul of Hogwarts: Re-thinking ‘Harry Potter’ in the wake of J.K. Rowling’s transphobic comments,Isabel Evans,2020-06-23T20:59:00Z,"isabel evans sc ’23 writes about ‘harry potter’ author j.k. rowling’s transphobic comments, which illuminate flaws with the popular series."
"EDITORIAL BOARD: Black lives matter, and saying so is objective journalism",Editorial Board,2020-06-04T00:45:00Z,"our duty as a newspaper is to write with objectivity, so we must be unequivocal in declaring that black lives matter is not a subjective stance, nor should it be. it is undeniably, irrefutably right."
An open letter to my non-Black peers,Kamara Anyanwu,2020-06-01T22:27:00Z,"in the wake of the police killing of george floyd, kamara anyanwu cm ’22 writes to her non-black peers about what more they must do."
"By disappointing overseas returnees, Beijing fails its second battle against COVID-19",Yutong Niu,2020-05-31T01:49:00Z,"with tens of thousands of students returning to china after fleeing covid-19 abroad, the chinese government is taking strenuous measures to prevent them from reintroducing coronavirus. rather than setting returnees up for criticism and bullying, china must bear the undeniable responsibility of accommodating its own citizens."
"If Dolly Parton ends coronavirus, I’ll shave my head",Georgia Scott,2020-05-04T05:22:00Z,dolly parton is setting an example for other celebrities and is using her platform to draw attention to covid-19 research. 
Pitzer has an economic segregation problem,Noah Gabor,2020-05-04T05:22:00Z,"in order to improve its economic diversity and become need-blind, pitzer college needs to embark on a substantial fundraising campaign. "
Why Pomona students should take the climate survey now,Student Members of the Climate Survey Working Group,2020-04-30T23:22:00Z,pomona students should take the survey created by the climate survey working group as soon as possible to aid in improving the college. 
CMC is a community without courage,Katherine Almendarez,2020-04-23T02:46:00Z,the lack of an equitable grading policy at claremont mckenna college — and student reactions to the new grading policy — highlight a lack of solidarity.
"Dear Trump, American deaths from COVID-19 are on you, and 300 million more lives are in your hands",Michelle Lum,2020-04-23T02:41:00Z,"trump’s response to covid-19 has been a failure, and all lives lost from the virus are his responsibility. "
"A community worth fighting for — thank you, CMC",Dina Rosin,2020-04-23T02:41:00Z,"dina rosin cm ’20, the outgoing ascmc president, reflects on her time at claremont mckenna college and what students have accomplished."
"Journalism is important, and coronavirus is showing us exactly why",Michelle Lum,2020-04-18T01:04:00Z,"in the midst of the covid-19 pandemic, journalism that holds leaders to account and reports information people need is more important than ever."
EDITORIAL BOARD: The 5Cs’ delays in announcing grading policies are hurting students,Editorial Board,2020-04-17T05:48:00Z,"the 5cs’ delays in announcing grading policies add more stress to students’ already-heavy burdens, tsl’s editorial board writes."
"EDITORIAL BOARD: Pomona shutting out students, reporters from faculty grading meeting is unacceptable",Editorial Board,2020-04-15T20:18:00Z,pomona barred students and reporters from a faculty meeting to decide coronavirus grading policy. this is unacceptable.
"Now more than ever, Pomona students should be in the room for policy decisions",Peter Heckendorn,2020-04-11T20:05:00Z,pomona college’s decisions in response to covid-19 illustrate an urgent need for aspc representatives to be in the room for policy meetings.
"For displaced 5C students, learning how to cope with coronavirus is more important than ever",Marissa Esquibel,2020-04-10T00:02:00Z,campus closures due to covid-19 are rough on everyone. therapist marissa esquibel shares some advice on coping with displacement and isolation.
Mandatory universal pass/no credit is a terrible solution,John Gibson,2020-04-09T23:59:00Z,lots of students have reasons for needing or wanting letter grades this semester. a universal pass/no credit system won’t help them.
My blood isn’t second-class,Donnie Denome,2020-04-08T18:12:00Z,the us food and drug administration has reduced its blood donation deferment periods for several groups in the light of covid-19. it still isn’t enough. 
Now is not the right time for austerity at Pomona College,Alex Etzkowitz,2020-04-03T18:55:00Z,"in the midst of the covid-19 pandemic, it’s time for pomona college to use its endowment and help its students and staff, not implement austerity measures."
"Opt out of “opt-in” grades, embrace universal pass/no credit",Cameron Tipton,2020-04-02T03:26:00Z,students face a wide range of challenges in continuing classes. pomona college needs to embrace universal pass/no credit to give everyone a fair chance.
Resist the temptation to moralize COVID-19,Donnie Denome,2020-04-02T03:24:00Z,covid-19 is a pandemic. blaming sick people for their illness doesn’t help anyone and feeds into a long history of prejudice and ableism. 
"There is no “objective good,” just paternalism",Margot Rosenblatt,2020-03-13T03:44:00Z,the concept of an “objective good” prioritizes western values and is an offensive expression of colonialism. 
Sanders has a better chance at winning than Biden,John Gibson,2020-03-13T03:39:00Z,"while some critics may argue that bernie sanders is too radical, he has a better chance of winning in the general election than joe biden. "
There’s value in outdoor orientation trips that cannot be found elsewhere,Michelle Lum,2020-03-13T01:33:00Z,"harvey mudd recently ended their outdoor orientation trips, and in doing so, have eliminated valuable opportunities to bond. "
"EDITORIAL BOARD: Coronavirus is here — while deeply unfortunate, we need to act rationally",Editorial Board,2020-03-13T01:27:00Z,"we can’t prevent coronavirus from drastically affecting our school year, but we can do our best to prevent it from spreading more. "
The Democratic’s refusal to support Sanders is detrimental,Anais Rivero,2020-03-13T01:21:00Z,"the democratic establishment is sabotaging bernie sanders, and in doing so, is ignoring a campaign powered by the people."
"EDITORIAL BOARD: Above all, restrictive communications policies harm colleges’ students",Editorial Board,2020-03-06T06:36:00Z,several of the claremont colleges have policies restricting employee communication . this hurts everyone — but students most of all.
The (mis)interpretation of dreams,Cameron Tipton,2020-03-06T05:44:00Z,"dream interpretation is a fun pastime, but we really only pay attention to it when our interpretations align with what we want or need."
Schools and Communities First initiative is 40 years too late and needed more than ever,Ben Reicher,2020-03-06T04:58:00Z,proposition 13 has wrecked california’s ability to fund education for decades. a proposed ballot measure would help fix that. 
The pill needs to be free now,Georgia Scott,2020-03-06T04:38:00Z,the vast majority of the burden of contraception falls on women. making the birth control pill free would help fix this. 
How liberals weaponize feminism,Anais Rivero,2020-02-28T06:52:00Z,demanding loyalty and complicity to people who uphold institutionalized prejudice simply because they’re women is not a feminist act. 
A chaotic field is Sanders’ greatest boon,Musa Tahir,2020-02-28T06:23:00Z,sen. bernie sanders can only benefit from the confusion and chaos of the democratic primary elections heading into super tuesday.
Living as a third culture kid means not knowing where you belong,Avika Jindel,2020-02-28T04:56:00Z,"third-culture kids, or those whose culture is different from their parents, face unique challenges growing up and in going to college."
Disability ‘access’ is not enough,Donnie Denome,2020-02-28T02:47:00Z,even when the claremont colleges are physically accessible — and they’re definitely not — physical accessibility isn’t enough to include disabled students. 
Let’s prioritize accessibility when designing buildings,Michelle Lum,2020-02-28T02:39:00Z,claremont needs to keep accessibility and the needs of disabled community members in mind when designing and implementing building plans. 
Resist the college-to-McKinsey pipeline and stop seeking work from unethical companies,Devon Baker,2020-02-26T03:55:00Z,students who take jobs with unethical companies need to knowthat their negative impact on society will be more than their positive impact on the companies. 
"Drop Sodexo has always thought about the workers, you just haven’t noticed",Vivi Kraus,2020-02-26T03:51:00Z,"the drop sodexo campaign at scripps is deeply involved in the needs of dining hall workers, even if most of their work is behind the scenes. "
